rank_test_score,mean_test_score,std_test_score,mean_fit_time,mean_score_time,param_batch_size,param_embedding_dim,param_k_size,param_n_filters,param_nlayers
1,0.9492995858192443,0.002123081194984723,36.64190926551819,0.2810274600982666,2048,50,3,32,1
2,0.9490575671195984,0.0005145589899853704,72.9955237865448,0.4403837203979492,512,100,3,32,1
3,0.9488341927528381,0.0012458682375628292,61.798319816589355,0.39289655685424807,2048,100,3,32,1
4,0.947987151145935,0.0013538578815760875,76.75304169654846,0.4366607666015625,512,100,5,32,1
5,0.9478009939193726,0.0015465169080696862,40.80915513038635,0.45416927337646484,512,50,3,32,1
6,0.9467864274978638,0.0011194992229079947,64.71330990791321,0.3104672431945801,2048,100,5,16,1
7,0.9467491865158081,0.001069979210453077,78.66648273468017,0.42040486335754396,2048,100,5,32,1
8,0.9462093472480774,0.001460018978526127,82.4823787689209,0.37656025886535643,2048,100,3,16,1
9,0.9461348652839661,0.002074151244399926,67.44215059280396,0.42182445526123047,512,50,5,32,1
10,0.9460417985916137,0.0015010477772455127,35.84323320388794,0.26575212478637694,2048,50,3,16,1
11,0.9459114670753479,0.0012381213823471644,38.73033485412598,0.32871408462524415,512,50,3,16,1
12,0.9459021806716919,0.0013926519184435167,74.93180427551269,0.4287353515625,512,100,5,16,1
13,0.9457625389099121,0.0011720690137203887,70.40271897315979,0.4284848213195801,512,100,3,16,1
14,0.9456787824630737,0.0017614951065716452,39.96900148391724,0.37313194274902345,2048,50,5,32,1
15,0.9455950021743774,0.001347889422995788,35.41395139694214,0.2809053897857666,2048,50,5,16,1
16,0.9441615819931031,0.0017912357594927694,40.485076665878296,0.3576643466949463,512,50,5,16,1
